Fecha,Activos,Curados_Acumulados,Casos_Acumulados,Muertes_Acumuladas,Nuevos_contagios,Muertes
2020-04-29,3526,5393,9466,547,2519,7
2020-04-30,3486,5573,9606,547,140,0
2020-05-01,3357,5816,9728,555,122,8
2020-05-02,3235,5981,9773,557,45,2
2020-05-03,3187,6075,9825,563,52,6
2020-05-04,3056,6234,9859,569,34,6
2020-05-05,2819,6561,9953,573,94,4
2020-05-06,2808,6802,10192,582,239,9
2020-05-07,2747,6959,10292,586,100,4
2020-05-08,2727,7138,10453,588,161,2
2020-05-09,2758,7225,10574,591,121,3
2020-05-10,2703,7347,10642,592,68,1
2020-05-11,2631,7445,10669,593,27,1
2020-05-12,2322,7820,10737,595,68,2
2020-05-13,2179,7996,10772,597,35,2
2020-05-14,2074,8157,10832,601,60,4
2020-05-15,2008,8263,10872,601,40,0
2020-05-16,1510,8820,10934,604,62,3
2020-05-17,1199,9155,10960,606,26,2
2020-05-18,1171,9204,10982,607,22,1
2020-05-19,1136,9281,11024,607,42,0
2020-05-20,1063,9411,11081,607,57,0
2020-05-21,990,9505,11103,608,22,1
2020-05-22,920,9607,11137,610,34,2
2020-05-23,884,9684,11180,612,43,2
2020-05-24,869,9716,11198,613,18,1
2020-05-25,854,9740,11208,614,10,1
2020-05-26,834,9764,11212,614,4,0
2020-05-27,823,9798,11236,615,24,1
2020-05-28,799,9849,11263,615,27,0
2020-05-29,773,9896,11284,615,21,0
2020-05-30,749,9936,11300,615,16,0
2020-05-31,732,9958,11306,616,6,1
2020-06-01,722,9970,11308,616,2,0
2020-06-02,707,9991,11314,616,6,0
2020-06-03,678,10033,11328,617,14,1
2020-06-04,569,10148,11335,618,7,1
2020-06-05,563,10178,11359,618,24,0
2020-06-06,542,10221,11381,618,22,0
2020-06-07,524,10242,11384,618,3,0
2020-06-08,515,10252,11385,618,1,0
2020-06-09,503,10275,11396,618,11,0
2020-06-10,476,10338,11432,618,36,0
2020-06-11,465,10356,11440,619,8,1
2020-06-12,357,10470,11446,619,6,0
2020-06-13,359,10476,11454,619,8,0
2020-06-14,351,10486,11456,619,2,0
2020-06-15,348,10489,11456,619,0,0
2020-06-16,349,10491,11459,619,3,0
2020-06-17,341,10503,11463,619,4,0
2020-06-18,343,10506,11468,619,5,0
2020-06-19,341,10518,11478,619,10,0
2020-06-20,340,10530,11489,619,11,0
2020-06-21,340,10532,11491,619,2,0
2020-06-22,343,10535,11497,619,6,0
2020-06-23,335,10545,11499,619,2,0
2020-06-24,331,10554,11504,619,5,0
2020-06-25,333,10563,11515,619,11,0
2020-06-26,311,10590,11520,619,5,0
2020-06-27,308,10606,11533,619,13,0
2020-06-28,310,10611,11540,619,7,0
2020-06-29,312,10615,11546,619,6,0
2020-06-30,314,10623,11556,619,10,0
2020-07-01,313,10633,11565,619,9,0
2020-07-02,317,10649,11585,619,20,0
2020-07-03,318,10665,11602,619,17,0
2020-07-04,279,10722,11620,619,18,0
2020-07-05,258,10776,11653,619,33,0
2020-07-06,254,10808,11681,619,28,0
2020-07-07,256,10817,11692,619,11,0
2020-07-08,245,10844,11708,619,16,0
2020-07-09,256,10880,11755,619,47,0
2020-07-10,259,10898,11776,619,21,0
2020-07-11,259,10926,11804,619,28,0
2020-07-12,253,10940,11812,619,8,0
2020-07-13,262,10943,11824,619,12,0
2020-07-14,245,10965,11829,619,5,0
2020-07-15,238,10979,11836,619,7,0
2020-07-16,227,11018,11864,619,28,0
2020-07-17,224,11034,11877,619,13,0
2020-07-18,218,11054,11891,619,14,0
2020-07-19,207,11070,11896,619,5,0
2020-07-20,202,11082,11903,619,7,0
2020-07-21,178,11116,11913,619,10,0
2020-07-22,180,11131,11930,619,17,0
2020-07-23,163,11187,11969,619,39,0
2020-07-24,180,11197,11996,619,27,0
2020-07-25,196,11211,12026,619,30,0
2020-07-26,217,11220,12056,619,30,0
2020-07-27,232,11228,12079,619,23,0
2020-07-28,242,11236,12097,619,18,0
2020-07-29,249,11251,12119,619,22,0
2020-07-30,260,11262,12141,619,22,0
2020-07-31,280,11272,12171,619,30,0
2020-08-01,308,11289,12216,619,45,0
2020-08-02,321,11302,12242,619,26,0
2020-08-03,359,11307,12285,619,43,0
2020-08-04,375,11318,12312,619,27,0
2020-08-05,406,11331,12356,619,44,0
2020-08-06,412,11369,12400,619,44,0
2020-08-07,444,11381,12444,619,44,0
2020-08-08,533,11403,12556,620,112,1
2020-08-09,591,11428,12640,621,84,1
2020-08-10,670,11446,12737,621,97,0
2020-08-11,740,11454,12815,621,78,0
2020-08-12,827,11476,12925,622,110,1
2020-08-13,938,11506,13067,623,142,1
2020-08-14,1053,11527,13203,623,136,0
2020-08-15,1158,11559,13340,623,137,0
2020-08-16,1282,11587,13494,625,154,2
2020-08-17,1400,11608,13633,625,139,0
2020-08-18,1505,11625,13755,625,122,0
2020-08-19,1623,11657,13905,625,150,0
2020-08-20,1783,11701,14110,626,205,1
2020-08-21,1995,11737,14360,628,250,2
2020-08-22,2148,11815,14594,631,234,3
2020-08-23,2306,11889,14827,632,233,1
2020-08-24,2452,11956,15041,633,214,1
2020-08-25,2580,12019,15232,633,191,0
2020-08-26,2798,12086,15517,633,285,0
2020-08-27,2939,12183,15757,635,240,2
2020-08-28,3139,12292,16066,635,309,0
2020-08-29,3294,12438,16370,638,304,3
2020-08-30,3484,12556,16680,640,310,2
2020-08-31,3640,12671,16954,643,274,3
2020-09-01,3742,12771,17157,644,203,1
2020-09-02,3847,12879,17374,648,217,4
2020-09-03,3991,13039,17681,651,307,3
2020-09-04,4082,13200,17938,656,257,5
2020-09-05,4137,13438,18231,656,293,0
2020-09-06,4175,13649,18483,659,252,3
2020-09-07,4243,13792,18697,662,214,3
2020-09-08,4230,13965,18858,663,161,1
2020-09-09,4364,14158,19190,668,332,5
2020-09-10,4358,14434,19464,672,274,4
2020-09-11,4361,14670,19707,676,243,4
2020-09-12,4336,14933,19948,679,241,3
2020-09-13,4281,15222,20184,681,236,2
2020-09-14,4264,15440,20393,689,209,8
2020-09-15,4301,15651,20646,694,253,5
2020-09-16,4322,15829,20847,696,201,2
2020-09-17,4306,16064,21071,701,224,5
